,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
22,12,<1,43,<5,<5,16,180,<5,270,<5,<5,<5,<1,1040,104,<5,<1,<1,<5,<5,2.26,130,<5,<1,<5,<10,<5,<5,6.59,0.679,<1,<1,0.698,0.082,67,21.0,0.446,18.8,98,138,21.4,0.193,9.64,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-11-21,"Los Angeles--Long Beach--Anaheim, CA"
23,10,<1,14,<5,3,<5,130,<5,130,<5,<5,<5,<1,430,67.3,<5,<1,<1,<5,<5,1.11,120,<5,<1,<5,21,<5,<5,6.44,0.217,<1,<1,0.434,0.044,27,18.0,0.21,5.85,52,76,16.1,0.173,5.63,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-12-10,"Los Angeles--Long Beach--Anaheim, CA"
24,4,<1,11,2,5,5,130,<5,130,4,<5,<5,<1,269,49.7,<5,<1,<1,<5,<5,1.71,150,<5,<1,<5,<10,<5,<5,6.57,0.546,<1,<1,0.42,0.084,45,19.0,0.27,5.68,60,96,18.2,0.14,8.71,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-12-27,"Los Angeles--Long Beach--Anaheim, CA"
25,3.8,<1,8.8,1.7,5.6,7,11,<5,88,4.5,<5,<5,<1,180,106,<5,<1,<1,<5,1.9,1.44,<100,<5,<1,1,<10,<5,<5,6.72,0.29,<1,<1,0.382,0.07,136,49.0,0.443,3.04,64,99,20.3,0.177,5.69,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-01-02,"Los Angeles--Long Beach--Anaheim, CA"
26,4.3,<1,25,1.1,2.9,4.3,<50,<5,90,1.6,<5,<5,<1,255,38.8,<5,<1,<1,<5,0.7,0.872,<100,<5,<1,<5,11,<5,<5,6.89,<0.1,<1,<1,0.454,0.052,42,19.0,0.235,2.88,48,76,16.1,0.149,5.83,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-01-12,"Los Angeles--Long Beach--Anaheim, CA"
27,3,<1,9.4,1.8,1.5,6.1,<50,<5,82,<5,<5,<5,<1,219,19.58,<5,<1,<1,<5,<5,1.05,<100,1.3,<1,1.4,34,<5,<5,7.04,0.162,<1,<1,0.312,0.054,98,25.0,0.33,5.46,72,98,21.4,0.12,5.68,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-01-24,"Los Angeles--Long Beach--Anaheim, CA"
28,3.3,<1,6.5,2,1.8,2.7,<50,<5,99,<5,<5,<5,<1,265,34.2,<5,<1,<1,<5,<5,1.154,<100,1,<1,1.2,25,<5,<5,6.68,<0.1,<1,<1,0.24,0.045,29,8.4,0.18,4.72,50,73.4,16.1,0.1,3.79,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-01-25,"Los Angeles--Long Beach--Anaheim, CA"
29,<5,<1,70,<5,<5,18,450,<5,450,<5,<5,<5,<1,4000,112,<5,<1,<1,<5,<5,4.28,3050,<5,<1,<5,61.4,<5,<5,6.78,1.03,<1,<1,1.142,0.264,97,79.7,0.55,17.9,120,188,29.7,0.53,20.9,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-11-13,"Los Angeles--Long Beach--Anaheim, CA"
30,19,<1,33,5.8,<5,27,243,18,265,<5,<5,<5,<1,1490,106.4,<5,<1,<1,<5,<5,1.7,420,<5,<1,<5,28.6,<5,<5,6.43,0.506,<1,<1,,1.615,61,23.0,0.21,7.3,58,99,17.6,0.21,7.88,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1997,1997-12-18,"Los Angeles--Long Beach--Anaheim, CA"
31,19.3,1.2,33,5.1,6.7,6,<50,<5,80,<5,<5,<5,1.1,3500,95.2,<5,<1,<1,<5,<5,2.58,100,<5,<1,<5,65.2,<5,<5,6.73,0.303,<1,<1,0.555,0.066,38,31.0,0.17,7.5,54,88,15.4,0.14,6.47,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-01-29,"Los Angeles--Long Beach--Anaheim, CA"
