,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
118,21,<1,37,19,11,<5,<50,<5,116,<5,<5,<5,<1,2070,<5,<5,<1,<1,<5,<5,0.96,<100,<5,<1,<5,<10,<5,<5,7.34,<0.1,,,0.723,0.2,202,23.0,0.27,5.72,52,86,21.4,0.13,4.3,<1,Project_3857_Hamlin_St_and_Oso_Ave,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
119,41,<1,71,18,12,42,540,24,560,<5,<5,11,<1,900,117,<5,<1,<1,<5,6,<0.1,<100,<5,<1,<5,<10,<5,<5,6.89,<0.1,<1,<1,3.413,0.29,495,40.0,0.186,19.93,104,170,21.4,0.08,17.1,<1,Project_1_Alcoa_Ave_and_Randolph_St,1995,1995-12-12,"Los Angeles--Long Beach--Anaheim, CA"
120,178,<1,168,47,35,17,234,<5,876,<5,<5,<5,<1,6800,<5,<5,<1,<1,<5,<5,5.86,<100,<5,<1,<5,<10,<5,<5,6.87,0.54,<1,<1,1.403,0.12,411,,0.13,7.2,48,73,13.4,0.06,4.96,<1,Project_1_Alcoa_Ave_and_Randolph_St,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
121,188,<1,119,47,22,<5,93,<5,591,<5,<5,<5,<1,5130,<5,<5,<1,<1,<5,<5,0.698,<100,<5,<1,<5,<10,<5,<5,6.98,<0.1,<1,<1,0.461,0.11,246,24.0,0.05,,34,58,12.0,<0.05,3.1,<1,Project_1_Alcoa_Ave_and_Randolph_St,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
122,<5,<1,31,<5,<5,10,86,<5,121,<5,<5,<5,<1,300,,<5,<1,<1,<5,<5,0.69,120,<5,<1,<5,<10,<5,<5,6.91,0.26,<1,<1,0.515,0.17,84,13.0,0.05,3.33,26,43.6,11.8,<0.05,3.26,<1,Project_1_Alcoa_Ave_and_Randolph_St,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
123,61,<1,47,<5,<5,12,191,<5,289,<5,<5,<5,<1,2230,<5,<5,<1,<1,<5,<5,1.04,<100,<5,<1,<5,<10,<5,<5,6.86,0.64,<1,<1,0.798,0.12,424,14.0,2.45,4.23,42,69,10.7,0.42,4.18,<1,Project_1_Alcoa_Ave_and_Randolph_St,1996,1996-03-05,"Los Angeles--Long Beach--Anaheim, CA"
124,56,<1,48,<5,11,<5,255,<5,410,<5,<5,<5,<1,1690,63.7,<5,<1,<1,<5,<5,1.81,<100,<5,<1,<5,<10,<5,<5,6.93,0.589,<1,<1,0.899,0.41,512,16.0,0.42,7.36,50,82,10.7,,8.19,<1,Project_1_Alcoa_Ave_and_Randolph_St,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
125,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,130,<5,<5,<1,<1,<5,<5,1.34,<100,<5,<1,<5,<10,<5,<5,8.51,<0.1,<1,<1,1.026,<0.1,6,3.6,0.49,14.14,490,692,256.7,0.28,34.9,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1995,1995-11-07,"Los Angeles--Long Beach--Anaheim, CA"
126,16,<1,23,<5,<5,14,300,15,320,<5,<5,<5,<1,610,73.4,<5,<1,<1,<5,<5,2.34,320,<5,<1,<5,114,<5,<5,8.5,<0.1,<1,<1,1.092,0.6,7,4.2,0.6,34.83,515,722,272.7,0.6,35.5,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1995,1995-11-07,"Los Angeles--Long Beach--Anaheim, CA"
127,11,<1,25,<5,<5,18,210,11,260,<5,<5,<5,<1,700,69.7,<5,<1,<1,<5,<5,3.78,<100,<5,<1,<5,<10,<5,<5,7.73,10.72,<1,<1,3.548,0.23,645,42.0,0.235,20.81,156,226,74.9,0.235,13.2,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1995,1995-12-12,"Los Angeles--Long Beach--Anaheim, CA"
128,<5,<1,19,<5,<5,<5,90,<5,190,<5,<5,<5,<1,340,<5,<5,<1,<1,<5,<5,2.26,<100,<5,<1,<5,<10,<5,<5,7.8,0.17,<1,<1,1.083,<0.1,880,61.0,0.162,12.99,202,335,128.0,<0.05,8.69,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1995,1995-12-23,"Los Angeles--Long Beach--Anaheim, CA"
129,<5,<1,29,33,<5,13,470,<5,540,<5,<5,<5,<1,300,73.5,<5,<1,<1,<5,<5,1.67,<100,<5,<1,<5,<10,<5,<5,8.3,<0.1,<1,<1,0.551,0.07,1,26.0,0.61,19.59,516,717,237.0,0.54,34.8,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-01-09,"Los Angeles--Long Beach--Anaheim, CA"
130,<5,<1,11,<5,<5,<5,65,<5,105,<5,<5,<5,<1,680,<5,<5,<1,<1,<5,<5,1.69,<100,<5,<1,<5,<10,<5,<5,6.19,0.55,<1,<1,2.228,0.08,26,8.7,0.05,10.3,54,78,16.1,0.05,3.18,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-02-03,"Los Angeles--Long Beach--Anaheim, CA"
131,<5,<1,31,<5,<5,<5,55,<5,66,<5,<5,<5,<1,850,<5,<5,<1,<1,<5,<5,0.76,590,<5,<1,<5,<10,<5,<5,7.12,0.319,<1,<1,1.286,0.11,67,50.0,0.94,6.01,62,88,21.4,0.07,2.53,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
132,<5,<1,27,<5,<5,10,103,<5,154,<5,<5,<5,<1,750,<5,<5,<1,<1,<5,<5,1.5,<100,<5,<1,<5,<10,<5,<5,6.89,0.36,<1,<1,1.779,0.6,28,12.0,0.32,11.73,56,87,16.1,0.12,5.93,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
133,13,<1,30,<5,<5,25,373,13,373,<5,<5,<5,<1,350,160,<5,<1,<1,<5,<5,6.3,240,<5,<1,<5,<10,<5,<5,8.18,0.295,<1,<1,1.5,0.88,14,5.9,0.55,61.23,588,783,287.0,0.4,24.7,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-03-19,"Los Angeles--Long Beach--Anaheim, CA"
134,<5,<1,10,<5,<5,<5,123,<5,<50,<5,<5,<5,<1,230,<5,<5,<1,<1,<5,<5,1.88,190,<5,<1,<5,141,<5,<5,8.27,0.15,<1,<1,1.401,<0.1,35,4.1,0.77,51,540,845,174.0,0.75,60.7,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-05-14,"Los Angeles--Long Beach--Anaheim, CA"
135,<5,<1,<5,27,<5,<5,<50,<5,290,<5,<5,<5,<1,780,<5,<5,<1,<1,<5,<5,0.76,580,<5,<1,<5,144,<5,<5,8.09,<0.1,<1,<1,1.12,<0.1,73,40.0,0.32,10.42,570,893,133.8,0.06,75.1,<1,Private_Drain_314_Firestone_Blvd_Phoebe_Ave,1996,1996-07-09,"Los Angeles--Long Beach--Anaheim, CA"
136,<5,<1,61,10,<5,36,250,<5,300,<5,<5,<5,<1,770,<5,<5,<1,<1,<5,<5,1.45,220,<5,<1,<5,<10,<5,<5,7.15,0.71,<1,<1,1.471,0.16,15,14.0,0.51,15.05,80,135,26.8,0.25,5.9,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1995,1995-12-23,"Los Angeles--Long Beach--Anaheim, CA"
137,10,<1,67,<5,16,18,<50,<5,127,<5,<5,<5,<1,1260,<5,<5,<1,<1,<5,<5,1.98,<100,<5,<1,<5,<10,<5,<5,7.82,0.12,<1,<1,2.735,<0.1,130,25.0,0.24,8.05,126,183,55.6,0.21,7.73,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
138,<5,<1,43,<5,<5,25,94,<5,165,<5,<5,<5,<1,610,<5,<5,<1,<1,<5,<5,1.1,<100,<5,<1,<5,<10,<5,<5,6.63,0.27,<1,<1,1.555,0.08,22,8.2,0.22,10.41,48,75,21.4,0.19,3.52,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-02-03,"Los Angeles--Long Beach--Anaheim, CA"
139,<5,<1,58,<5,<5,20,101,<5,107,<5,<5,<5,<1,200,,<5,<1,<1,<5,<5,0.6,<100,<5,<1,<5,<10,<5,<5,7.19,0.18,<1,<1,0.481,0.1,22,4.3,0.31,5.88,40,70,21.4,0.29,3.75,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
140,44,<1,150,<5,19,32,242,<5,447,<5,<5,<5,<1,2190,83.5,<5,<1,<1,<5,<5,1.37,<100,<5,<1,<5,110,<5,<5,6.78,0.71,<1,1,1.489,0.19,104,22.0,0.76,11.77,62,96,16.1,0.57,6.62,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
141,43,<1,163,16.4,19,41,310,<5,580,<5,<5,<5,<1,3580,<5,<5,<1,<1,<5,<5,2.34,<100,<5,<1,<5,<10,<5,<5,6.72,0.34,<1,<1,1.37,0.05,112,29.6,0.84,14.2,66,99.2,16.05,0.37,6.73,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-10-30,"Los Angeles--Long Beach--Anaheim, CA"
142,<5,<1,59,<5,<5,33,180,<5,260,<5,<5,<5,<1,1040,70.4,<5,<1,<1,<5,<5,1.42,<100,<5,<1,<5,<10,<5,<5,6.93,<0.1,<1,<1,0.547,0.082,36,16.0,0.315,26.9,58,79.5,26.8,0.219,2.77,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-11-21,"Los Angeles--Long Beach--Anaheim, CA"
143,12,<1,19,2,5,<5,140,<5,155,2,2,2,<1,570,95.7,<5,<1,<1,<5,1.4,1.26,<100,<5,<1,<5,17,<5,<5,6.45,<0.1,<1,<1,0.4,0.03,37,17.0,0.728,5.15,38,55,12.8,0.316,2.93,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-12-09,"Los Angeles--Long Beach--Anaheim, CA"
144,9,<1,80,5,3,35,250,<5,360,<5,3,<5,<1,1000,41.8,1,<1,<1,<5,<5,2.14,<100,1,<1,1,12,<5,<5,6.84,,,,0.687,0.144,91,21.0,0.59,4.7,98,145,21.4,0.22,13.5,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-12-21,"Los Angeles--Long Beach--Anaheim, CA"
145,4,<1,13,2,6,6,120,<5,130,7,<5,<5,<1,210,46.2,<5,<1,<1,<5,<5,0.952,150,<5,<1,<5,<10,<5,<5,6.54,0.206,<1,<1,0.359,0.048,23,12.0,0.2,4.7,36,58,16.1,0.09,2.84,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1996,1996-12-27,"Los Angeles--Long Beach--Anaheim, CA"
146,4,1,24,4,9,11,16,<5,147,5,2,<5,<1,170,29,1,<1,<1,<5,<5,1.47,<100,<5,<1,1,2,<5,<5,6.8,0.381,<1,<1,0.38,0.118,51,18.0,0.299,3.59,60,88,24.6,0.156,2.19,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-01-01,"Los Angeles--Long Beach--Anaheim, CA"
147,6.2,<1,28,1.8,3.9,6.3,<50,<5,90,2.2,1.1,<5,<1,345,35.35,<5,<1,<1,<5,<5,0.934,<100,<5,<1,<5,6,<5,<5,6.96,<0.1,<1,36,0.28,0.043,39,17.0,0.25,5.24,34,50,12.8,0.136,2.62,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-01-12,"Los Angeles--Long Beach--Anaheim, CA"
148,4.1,<1,23,2.4,2.5,6.4,<50,<5,80,1.5,1.3,<5,<1,237,31.41,<5,<1,<1,<5,<5,0.532,<100,<5,<1,1,33,<5,<5,6.91,<0.1,<1,<1,0.217,0.062,31,9.3,0.23,5.69,50,73.7,19.3,0.13,3,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-01-24,"Los Angeles--Long Beach--Anaheim, CA"
149,4.4,<1,21,2.6,2,2.8,<50,<5,72,1.4,1.3,<5,<1,219,27.3,<5,<1,<1,<5,<5,0.86,<100,<5,<1,<5,19,<5,<5,6.88,0.1,<1,<1,0.18,0.044,17,5.3,0.14,5.3,54,99.4,21.4,0.1,2.29,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-01-25,"Los Angeles--Long Beach--Anaheim, CA"
150,14.6,1.3,64.9,9.5,<5,51.5,317,<5,1810,<5,<5,5.7,1.3,13800,29.2,<5,<1,<1,<5,<5,3.68,130,<5,<1,<5,56.6,<5,<5,6.8,0.473,<1,<1,1.054,0.088,225,75.1,0.51,13.2,86,139,15.4,0.48,8.89,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-11-10,"Los Angeles--Long Beach--Anaheim, CA"
151,<5,<1,98,<5,<5,95,380,<5,380,<5,<5,<5,<1,3900,92.8,<5,<1,<1,<5,<5,3.4,1820,<5,<1,<5,42.3,<5,<5,6.63,0.999,<1,<1,1.059,0.18,49,47.2,0.37,9.7,56,93,16.5,0.34,6.14,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-11-13,"Los Angeles--Long Beach--Anaheim, CA"
152,41.5,4.1,136,8,11.3,88,510,30.6,520,7.9,<5,5.9,3.8,4100,56,<5,<1,<1,<5,<5,1.68,2300,<5,<1,<5,111,<5,<5,6.64,0.593,<1,<1,<0.1,0.043,343,68.0,0.63,9.38,58,92,22.0,0.63,5.17,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-11-26,"Los Angeles--Long Beach--Anaheim, CA"
153,31,1.4,74,8.8,11.3,63,332,25,357,5.7,<5,8.7,<1,4100,8.69,<5,<1,<1,<5,<5,1.22,1220,<5,<1,<5,60.6,<5,<5,6.63,0.426,<1,<1,0.273,0.198,99,62.0,0.39,5.5,44,74,12.1,0.3,3.79,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-11-30,"Los Angeles--Long Beach--Anaheim, CA"
154,10,<1,39,<5,5,37,231,10,265,<5,<5,<5,<1,1370,67.9,<5,<1,<1,<5,<5,1.32,540,<5,<1,<5,22,<5,<5,6.35,0.582,<1,<1,0.375,0.043,39,23.0,0.22,7.6,36,59,8.8,0.21,3.22,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-12-05,"Los Angeles--Long Beach--Anaheim, CA"
155,15,<1,44,<5,<5,38,216,13,222,<5,<5,<5,<1,1250,82.7,<5,<1,<1,<5,<5,0.704,230,<5,<1,<5,28,<5,<5,6.22,0.22,<1,<1,,0.035,51,21.0,0.23,4.5,24,40,7.7,0.23,<2,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1997,1997-12-18,"Los Angeles--Long Beach--Anaheim, CA"
156,<5,1.5,54,5.6,<5,43,200,<5,337,<5,<5,<5,<1,956,101,<5,<1,<1,<5,<5,1.89,<100,<5,<1,<5,<10,<5,<5,6.56,0.523,<1,<1,0.905,0.12,95,33.1,0.68,11.4,72,104,22.0,0.58,4.16,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-01-02,"Los Angeles--Long Beach--Anaheim, CA"
157,<5,1.3,24,<5,<5,13.9,70,<5,257,<5,<5,<5,<1,1280,83.6,<5,<1,<1,<5,<5,0.962,<100,<5,<1,<5,<10,<5,<5,6.17,0.16,<1,<1,0.197,0.054,44,36.2,0.16,4.2,26,46,8.8,0.15,2.12,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-01-04,"Los Angeles--Long Beach--Anaheim, CA"
158,87,1,29,<5,<5,27,50,73,164,<5,<5,<5,1,844,26.9,<5,<1,<1,<5,<5,0.604,<100,<5,<1,<5,<10,<5,<5,6.33,0.351,<1,<1,<0.1,<0.1,25,5.62,0.1,3.7,18,32,7.7,0.08,1.41,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-01-09,"Los Angeles--Long Beach--Anaheim, CA"
159,19,2.2,89,9.5,5.1,29,185,<5,419,<5,<5,<5,<1,1840,47.7,<5,<1,<1,<5,<5,2.1,<100,<5,<1,<5,45.9,<5,<5,6.69,0.376,<1,<1,0.761,0.121,63,19.0,,17.3,78,115,22.0,,6.32,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-01-19,"Los Angeles--Long Beach--Anaheim, CA"
160,14.6,<1,39,<5,5.7,18,<50,<5,70,<5,<5,<5,<1,2040,6,<5,<1,<1,<5,<5,1.56,120,<5,<1,<5,52.7,<5,<5,6.49,0.267,<1,<1,0.282,0.049,84,11.7,0.52,4.9,24,43,11.0,0.47,<2,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-01-29,"Los Angeles--Long Beach--Anaheim, CA"
161,6.9,<1,39,<5,<5,22,140,<5,260,<5,<5,<5,<1,517,5.3,<5,<1,<1,<5,<5,0.762,<100,<5,<1,<5,14.8,<5,<5,6.23,0.281,<1,<1,0.478,0.044,17,9.9,0.17,7.75,36,55,8.8,0.16,3.45,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-03,"Los Angeles--Long Beach--Anaheim, CA"
162,8.9,1.1,29,<5,<5,14,53,<5,136,<5,<5,<5,<1,804,25.1,<5,<1,<1,<5,<5,0.702,143,<5,<1,<5,33.3,<5,<5,6.58,0.132,<1,<1,<0.1,<0.1,13,14.7,0.13,3.8,38,60,14.3,0.12,4.52,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-06,"Los Angeles--Long Beach--Anaheim, CA"
163,<5,<1,16,<5,<5,15,103,<5,127,<5,<5,<5,<1,304,14.6,<5,<1,<1,<5,<5,0.43,180,<5,<1,<5,24.6,<5,<5,6.13,<0.1,<1,<1,<0.1,0.033,18,6.82,0.14,4.5,18,31,7.7,0.14,2.22,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-14,"Los Angeles--Long Beach--Anaheim, CA"
164,7.1,<1,31,<5,<5,30,140,6.9,164,<5,<5,<5,<1,536,24.2,<5,<1,<1,<5,<5,0.592,355,<5,<1,<5,44.8,<5,<5,6.45,0.106,<1,<1,<0.1,0.041,17,10.2,0.52,6.68,44,65,14.3,0.48,4.16,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-16,"Los Angeles--Long Beach--Anaheim, CA"
165,5.8,<1,29,5,<5,11,116,<5,160,<5,<5,<5,<1,512,29,<5,<1,<1,<5,<5,0.542,77,<5,<1,<5,26.4,<5,<5,6.32,0.106,<1,<1,<0.1,0.057,14,5.92,0.2,4.2,34,50,13.2,0.2,2.99,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-19,"Los Angeles--Long Beach--Anaheim, CA"
166,5.1,<1,20,<5,<5,10,75,<5,138,<5,<5,<5,<1,400,<5,<5,<1,<1,<5,<5,0.524,<100,<5,<1,<5,18.1,<5,<5,6.21,0.125,<1,<1,<0.1,<0.1,9,5.09,0.14,3.8,30,50,13.2,0.12,2.92,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-02-21,"Los Angeles--Long Beach--Anaheim, CA"
167,<5,1,36,<5,<5,33,224,<5,286,<5,<5,<5,<1,206,74.3,<5,<1,<1,<5,<5,1.27,<100,<5,<1,<5,24,<5,<5,6.52,0.1,<1,<1,0.743,0.071,35,4.6,0.84,7.798,60,104,20.9,0.75,5.43,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-03-05,"Los Angeles--Long Beach--Anaheim, CA"
168,8.1,1,42.1,<5,<5,26.6,160,<5,218,<5,<5,<5,<1,425,<5,<5,<1,<1,<5,<5,1.13,<100,<5,<1,<5,<10,<5,<5,6.5,0.751,<1,<1,0.565,0.056,14,7.44,0.36,8.105,42,67,16.5,0.33,3.9,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-03-13,"Los Angeles--Long Beach--Anaheim, CA"
169,<5,<1,18.8,<5,<5,18.8,233,<5,235,<5,<5,<5,<1,198,<5,<5,<1,<1,<5,<5,,184,<5,<1,<5,<10,<5,<5,6.25,0.154,<1,<1,<0.1,<0.1,6,5.94,0.47,4.655,30,54,11.0,0.42,2.61,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-03-25,"Los Angeles--Long Beach--Anaheim, CA"
170,19,2.3,42.1,6.1,<5,19.2,130,<5,315,<5,<5,<5,<1,1660,30.93,<5,<1,<1,<5,<5,1,<100,<5,<1,<5,59.4,<5,<5,6.34,0.122,<1,<1,<0.1,<0.1,50,20.9,0.24,5.004,46,79,14.3,0.22,7.45,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-03-27,"Los Angeles--Long Beach--Anaheim, CA"
171,<5,1.1,20,<5,33.6,19.3,60,<5,118,<5,<5,<5,<1,369,22.18,<5,<1,<1,<5,<5,0.624,<100,<5,<1,<5,27.5,<5,<5,6.2,0.142,<1,<1,<0.1,0.049,25,14.4,0.22,5.892,44,72,14.3,0.18,6.11,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-03-31,"Los Angeles--Long Beach--Anaheim, CA"
172,5.2,<1,40,<5,<5,24,61,<5,178,<5,<5,<5,<1,249,50.45,<5,<1,<1,<5,<5,0.92,<100,<5,<1,<5,<10,<5,<5,6.44,0.15,<1,<1,<0.1,0.047,25,9.8,0.55,5.003,40,68,14.3,0.49,4.62,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-04-11,"Los Angeles--Long Beach--Anaheim, CA"
173,33.7,5.8,292,15.5,14,69.5,630,<5,1070,<5,<5,9,<1,4600,233,<5,<1,<1,<5,<5,4.26,120,<5,<1,<5,95,<5,<5,7.02,0.261,<1,<1,<0.1,0.041,,43.9,2.04,7.35,168,276,58.3,1.66,20.6,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-05-02,"Los Angeles--Long Beach--Anaheim, CA"
174,<5,1.2,28.3,<5,<5,18.9,124,<5,145,<5,<5,<5,<1,362,56.5,<5,<1,<1,<5,<5,0.82,<100,<5,<1,<5,26.9,<5,<5,6.33,<0.1,<1,<1,<0.1,<0.1,9,15.1,0.31,6.5,54,79,18.7,0.25,7.06,,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-05-12,"Los Angeles--Long Beach--Anaheim, CA"
175,<5,<1,32.1,6.2,<5,26.2,256,<5,276,<5,<5,<5,<1,220,46,<5,<1,<1,<5,<5,1.3,100,<5,<1,<5,14.7,<5,<5,6.51,0.169,<1,<1,0.7,<0.1,131,296.0,0.67,8.53,50,78.5,13.8,0.59,3.17,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-11-08,"Los Angeles--Long Beach--Anaheim, CA"
176,21.2,<1,98.2,12.6,10.6,51,268,<5,542,<5,<5,6.4,<1,2200,<5,<5,<1,<1,<5,11.1,3.82,495,<5,<1,<5,83.7,<5,<5,6.79,0.232,<1,<1,0.892,0.201,87,44.6,0.75,15.6,74,120,18.0,0.65,7.57,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-11-28,"Los Angeles--Long Beach--Anaheim, CA"
177,7.7,1.6,67.8,7.5,<5,64.4,270,<5,285,<5,<5,5.7,<1,702,34.4,<5,<1,<1,<5,11.8,5.28,274,<5,<1,<5,36.4,<5,<5,7.24,0.472,<1,<1,1.23,0.225,173,59.0,<0.05,22.28,96,148,29.7,<0.05,8.18,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-12-01,"Los Angeles--Long Beach--Anaheim, CA"
178,<5,<1,29.2,6.9,<5,22.3,132,<5,161,<5,<5,5.9,<1,296,53.1,<5,<1,<1,<5,11.9,1.61,<100,<5,<1,<5,<10,<5,<5,6.9,0.295,<1,<1,<0.1,0.068,64,22.3,0.36,3.75,50,80.3,15.9,0.32,5.8,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1998,1998-12-06,"Los Angeles--Long Beach--Anaheim, CA"
179,<5,1.2,40.5,8.9,<5,8.8,360,<5,382,<5,<5,<5,<1,213,60.1,<5,<1,<1,<5,<5,3.92,<100,<5,<1,<5,10.7,<5,<5,7.13,0.561,<1,<1,0.902,0.173,85,44.8,1,11.87,98,153,27.6,0.78,7.35,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-01-20,"Los Angeles--Long Beach--Anaheim, CA"
180,8.8,<1,50.5,9.9,<5,39.6,199,<5,233,<5,<5,5.3,<1,310,54.7,<5,<1,<1,<5,<5,1.51,<100,<5,<1,<5,30.6,<5,<5,6.64,0.321,<1,<1,0.431,0.078,50,27.7,0.4,6.8,56,92.2,12.7,0.33,6.45,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-01-25,"Los Angeles--Long Beach--Anaheim, CA"
181,<5,<1,38,6.2,<5,38,188,<5,212,<5,<5,<5,<1,226,145,<5,<1,<1,<5,<5,2.56,<100,<5,<1,<5,49,<5,<5,6.9,<0.1,<1,<1,0.506,0.134,45,24.5,,8.7,60,100,15.9,,4.49,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-01-31,"Los Angeles--Long Beach--Anaheim, CA"
182,<5,2.3,47.5,8.8,<5,37.8,293,<5,322,<5,<5,6.2,<1,398,31.8,<5,<1,<1,<5,<5,3.2,193,<5,<1,<5,36.5,<5,<5,7.12,<0.1,<1,<1,1.09,0.234,52,60.5,0.54,,78,125,27.6,0.47,5.4,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-02-06,"Los Angeles--Long Beach--Anaheim, CA"
183,14.5,1.3,49.5,<5,6,26.7,255,<5,379,<5,<5,<5,<1,1000,26.3,<5,<1,<1,<5,<5,2.8,<100,<5,<1,<5,32.7,<5,<5,7.15,0.157,<1,<1,4.81,0.101,113,55.4,0.43,,78,124,26.5,0.41,6.01,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-02-09,"Los Angeles--Long Beach--Anaheim, CA"
184,8,1.6,110,18.6,<5,81.5,291,<5,445,<5,<5,8.5,<1,981,,<5,<1,<1,<5,<5,3.16,107,6.9,<1,6.9,52.6,<5,<5,7.45,<0.1,<1,<1,0.964,0.149,40,22.6,,20.7,130,207,42.4,,12.8,<1,Dominguez_Channel_at_116th_St_and_Isis Ave,1999,1999-03-08,"Los Angeles--Long Beach--Anaheim, CA"
